Postcode,Count
3000,36
3002,22
3003,2
3004,31
3006,96
3008,19
3011,46
3012,99
3013,28
3015,47
3016,12
3018,7
3019,36
3020,30
3021,89
3022,95
3023,6
3024,99
3025,43
3026,31
3027,60
3028,99
3029,40
3030,74
3031,100
3032,56
3033,91
3034,35
3036,40
3037,91
3038,18
3039,39
3040,69
3041,13
3042,62
3043,34
3044,9
3046,81
3047,32
3048,14
3049,61
3050,97
3051,75
3052,46
3053,51
3054,95
3055,20
3056,7
3057,10
3058,26
3059,18
3060,19
3061,47
3063,22
3064,77
3065,41
3066,9
3067,72
3068,18
3070,42
3071,6
3072,63
3073,23
3074,72
3075,99
3076,30
3078,5
3079,90
3081,63
3082,93
3083,57
3084,77
3085,35
3088,12
3089,1
3091,100
3094,71
3095,52
3099,29
3101,41
3102,94
3103,39
3104,75
3105,35
3106,99
3107,64
3108,9
3109,42
3111,90
3113,77
3114,95
3115,7
3116,3
3121,8
3122,58
3123,26
3124,24
3125,41
3126,55
3127,70
3128,5
3129,88
3130,91
3131,13
3133,31
3134,84
3135,73
3136,55
3137,40
3138,90
3139,64
3140,69
3141,9
3142,51
3143,92
3144,75
3145,94
3146,61
3147,78
3148,55
3149,76
3150,89
3151,75
3152,88
3153,49
3154,43
3155,39
3156,12
3158,73
3160,84
3161,3
3162,34
3163,77
3165,98
3166,66
3168,64
3169,21
3170,75
3171,59
3172,32
3173,51
3174,54
3175,10
3177,26
3178,34
3179,83
3180,88
3181,26
3182,36
3183,48
3184,61
3185,72
3186,38
3187,11
3188,69
3190,49
3191,1
3192,13
3193,25
3194,36
3195,85
3196,22
3197,13
3198,32
3199,45
3200,13
3201,10
3202,2
3204,82
3205,37
3206,48
3207,3
3211,56
3212,85
3214,30
3215,21
3216,88
3217,72
3218,70
3219,37
3223,69
3224,81
3225,65
3226,16
3228,6
3233,75
3250,6
3278,4
3280,16
3305,12
3318,41
3331,31
3332,42
3335,31
3337,26
3338,47
3340,25
3350,98
3352,91
3353,14
3355,61
3356,95
3361,86
3370,97
3373,18
3377,57
3380,62
3387,55
3409,100
3418,45
3419,99
3427,50
3428,33
3429,48
3430,31
3431,77
3434,19
3435,31
3437,43
3438,97
3440,23
3441,27
3442,46
3444,59
3446,15
3447,29
3448,86
3450,59
3451,14
3453,73
3460,89
3462,19
3465,50
3467,42
3500,18
3502,26
3515,95
3517,54
3518,9
3523,38
3525,54
3549,36
3550,12
3551,89
3555,57
3556,68
3564,53
3579,75
3585,5
3589,25
3608,89
3612,79
3616,57
3619,1
3624,73
3629,34
3630,71
3632,9
3636,54
3641,77
3644,72
3658,67
3660,90
3663,26
3664,93
3672,82
3677,91
3690,56
3695,65
3717,27
3722,4
3724,28
3730,82
3736,50
3746,15
3750,45
3752,12
3753,80
3754,36
3756,62
3757,80
3758,44
3760,35
3764,22
3765,29
3766,14
3767,90
3775,25
3777,33
3782,42
3783,45
3788,81
3792,3
3796,25
3802,90
3803,49
3804,74
3805,91
3806,17
3807,40
3809,77
3810,36
3812,89
3815,28
3818,23
3820,15
3823,88
3824,42
3825,56
3840,70
3842,51
3844,58
3850,18
3860,26
3862,98
3869,33
3870,73
3875,5
3880,94
3904,17
3909,4
3910,32
3912,75
3913,75
3916,64
3919,85
3922,27
3925,70
3926,82
3928,78
3930,6
3931,42
3934,32
3936,14
3938,72
3939,64
3940,76
3941,56
3942,90
3953,35
3956,7
3957,86
3960,24
3964,84
3975,82
3976,11
3977,93
3978,88
3980,56
3995,51
3996,23
